Patient ID,KP 20th Percentile,KP 80th Percentile,KI 20th Percentile,KI 80th Percentile,KD 20th Percentile,KD 80th Percentile,KP 50th Percentile,KI 50th Percentile,KD 50th Percentile,KP mean,KI mean,KD mean
adolescent_1,-0.04104520380496979,-0.009679594310000539,-0.00219968450255692,-0.00010884599760174751,-0.359608918428421,-0.14875910431146622,-0.033317264169454575,-0.0013275454984977841,-0.2283819168806076,-0.0235236007720232,-0.0011847575660794973,-0.21049317717552185
adolescent_2,-0.04128461144864559,0.021005512215197086,-0.001490298891440034,0.00030183768831193447,-0.44154321402311325,0.21455048769712448,-0.021448739804327488,-0.00029374193400144577,-0.2209131419658661,0.0005980028072372079,-0.0006863399758003652,-0.030045796185731888
adolescent_3,-0.04355017002671957,0.006114089861512184,-0.0017570956842973828,0.00010490883141756058,-0.4139029532670975,-0.12228673882782459,-0.02721524890512228,-0.0005946087185293436,-0.3011265993118286,-0.011820362880825996,-0.0006962402840144932,-0.1977357715368271
adolescent_4,-0.0445839948952198,0.005974936299026012,-0.0015617376193404198,0.0002903065178543329,-0.44303032010793686,-0.11294480413198471,-0.026163515634834766,-0.00044253224041312933,-0.321352943778038,-0.01256141159683466,-0.0005385430995374918,-0.1961776316165924
adolescent_5,-0.0461098738014698,0.006903446279466152,-0.0017446266720071435,-1.8571096006780863e-05,-0.37137679010629654,-0.03487173840403557,-0.030793529003858566,-0.000582866370677948,-0.21269331872463226,-0.006257610395550728,-0.0007240637205541134,-0.03496404364705086
adolescent_6,-0.04512672871351242,-0.003389713354408741,-0.0014702946646139026,-2.987397601827979e-05,-0.37057480961084366,-0.19433198124170303,-0.03162432089447975,-0.0008473552297800779,-0.2802439332008362,-0.020384667441248894,-0.0005249988753348589,-0.2429756224155426
adolescent_7,-0.04303687438368797,0.022988103330135345,-0.0018841252895072103,0.00023428350687026978,-0.3871229290962219,0.3627854585647583,-0.02118866052478552,-0.00047428999096155167,-0.1670060008764267,0.007364177610725164,-0.0008374478202313185,0.07041391730308533
adolescent_8,-0.0442470945417881,0.011866794899106026,-0.001918365596793592,0.00014943524729460478,-0.4012725278735161,0.15379751473665237,-0.028743894770741463,-0.00040782196447253227,-0.2239425852894783,-5.3199131798464805e-05,-0.0006976858712732792,-0.008364275097846985
adolescent_9,-0.04360406007617712,0.007959450129419565,-0.0015811955090612173,0.0001080757356248796,-0.4247923344373703,-0.09392751380801201,-0.026839274913072586,-0.0005894888890907168,-0.2998102158308029,-0.012072380632162094,-0.0005767410038970411,-0.20466327667236328
adolescent_10,-0.04305676743388176,-0.008323804242536426,-0.0015645986422896385,0.00017848878633230925,-0.40906989574432373,-0.17045461386442184,-0.03240269050002098,-0.0005925381556153297,-0.2984740287065506,-0.024431146681308746,-0.0006584218936040998,-0.2537449598312378
adolescent_mean,-0.04356453791260719,0.006141922110691667,-0.001717202307190746,0.00012100452440790832,-0.4022294692695141,-0.014644303359091282,-0.0279737139120698,-0.0006152788992039859,-0.2553944684565067,-0.010314219631254673,-0.0007125239935703576,-0.13087506592273712
